,Facility Name,Permit Number,Permit Status,Permit Type,City,County,Violation Date,Is Addressed,Category,Type,Parameter,Units,Statistical Base,Measurement Value,Benchmark/Limit,Violation Notes,Violation Override,Feature Name,ViolationId,FacilityId,lat,lon
0,Belfair Water & Wastewater Reclamation Facility,ST0006224,Active,Municipal to ground SWDP IP,Belfair,Mason,9/23/2020,No,Effluent Violations,Numeric effluent violation, , , ,2.996, , , , ,1638806,17635,47.464685,-122.809039
1,Belfair Water & Wastewater Reclamation Facility,ST0006224,Active,Municipal to ground SWDP IP,Belfair,Mason,9/23/2020,No,Effluent Violations,Numeric effluent violation, , , ,2.996, , , , ,1639121,17635,47.464685,-122.809039
2,Belfair Water & Wastewater Reclamation Facility,ST0006224,Active,Municipal to ground SWDP IP,Belfair,Mason,9/21/2020,No,Effluent Violations,Numeric effluent violation, , , ,2.997, , , , ,1639122,17635,47.464685,-122.809039
3,Foss Maritime Company,ST0006175,Active,Industrial to ground SWDP IP,TACOMA,Pierce,9/18/2020,No,Monitoring Violations,Analysis not Conducted, , , , , , , , ,1638760,1379,47.2600746154785,-122.431358337402
4,"Pacific Seafood - Westport, LLC",WA0003352,Active,Industrial NPDES IP,WESTPORT,Grays Harbor,9/16/2020,No,Monitoring Violations,Analysis not Conducted, , , , , , , , ,1639033,6751045,46.908145904541,-124.116798400879
5,Granite Construction Vancouver Asphalt,WAG501067,Active,Sand and Gravel GP,Vancouver,Clark,9/23/2020,N/A,Warning Limit Exceedance,Warning Limit Exceedance, , , ,1, , , , ,1639511,6346,45.6223983764648,-122.48380279541
6,Belfair Water & Wastewater Reclamation Facility,ST0006224,Active,Municipal to ground SWDP IP,Belfair,Mason,9/21/2020,No,Effluent Violations,Numeric effluent violation, , , ,2.997, , , , ,1638807,17635,47.464685,-122.809039
7,Foss Maritime Company,ST0006175,Active,Industrial to ground SWDP IP,TACOMA,Pierce,9/18/2020,No,Monitoring Violations,Analysis not Conducted, , , , , , , , ,1638759,1379,47.2600746154785,-122.431358337402
8,Belfair Water & Wastewater Reclamation Facility,ST0006224,Active,Municipal to ground SWDP IP,Belfair,Mason,9/16/2020,No,Effluent Violations,Numeric effluent violation, , , ,1.5, , , , ,1638805,17635,47.464685,-122.809039
9,"Pacific Seafood - Westport, LLC",WA0003352,Active,Industrial NPDES IP,WESTPORT,Grays Harbor,9/16/2020,No,Monitoring Violations,Analysis not Conducted, , , , , , , , ,1639029,6751045,46.908145904541,-124.116798400879
10,"Pacific Seafood - Westport, LLC",WA0003352,Active,Industrial NPDES IP,WESTPORT,Grays Harbor,9/16/2020,No,Monitoring Violations,Analysis not Conducted, , , , , , , , ,1639030,6751045,46.908145904541,-124.116798400879
11,Belfair Water & Wastewater Reclamation Facility,ST0006224,Active,Municipal to ground SWDP IP,Belfair,Mason,9/10/2020,No,Effluent Violations,Numeric effluent violation, , , ,2.998, , , , ,1638800,17635,47.464685,-122.809039
12,Belfair Water & Wastewater Reclamation Facility,ST0006224,Active,Municipal to ground SWDP IP,Belfair,Mason,9/9/2020,No,Effluent Violations,Numeric effluent violation, , , ,2.998, , , , ,1639118,17635,47.464685,-122.809039
13,Belfair Water & Wastewater Reclamation Facility,ST0006224,Active,Municipal to ground SWDP IP,Belfair,Mason,9/8/2020,No,Effluent Violations,Numeric effluent violation, , , ,2.997, , , , ,1638802,17635,47.464685,-122.809039
14,LOTT Martin Way Water Reclamation Facility,ST0006206,Active,Municipal to ground SWDP IP,LACEY,Thurston,9/6/2020,No,Monitoring Violations,Analysis not Conducted, , , , , , , , ,1638438,5905309,47.0493011474609,-122.801742553711
15,Belfair Water & Wastewater Reclamation Facility,ST0006224,Active,Municipal to ground SWDP IP,Belfair,Mason,9/16/2020,No,Effluent Violations,Numeric effluent violation, , , ,1.5, , , , ,1639120,17635,47.464685,-122.809039
16,Belfair Water & Wastewater Reclamation Facility,ST0006224,Active,Municipal to ground SWDP IP,Belfair,Mason,9/10/2020,No,Effluent Violations,Numeric effluent violation, , , ,2.998, , , , ,1639119,17635,47.464685,-122.809039
17,Belfair Water & Wastewater Reclamation Facility,ST0006224,Active,Municipal to ground SWDP IP,Belfair,Mason,9/9/2020,No,Effluent Violations,Numeric effluent violation, , , ,2.998, , , , ,1638801,17635,47.464685,-122.809039
18,Belfair Water & Wastewater Reclamation Facility,ST0006224,Active,Municipal to ground SWDP IP,Belfair,Mason,9/8/2020,No,Effluent Violations,Numeric effluent violation, , , ,2.997, , , , ,1639117,17635,47.464685,-122.809039
19,Tenino Water Reclamation Facility,ST0006221,Active,Municipal to ground SWDP IP,Tenino,Thurston,9/6/2020,No,Monitoring Violations,Frequency of Sampling Violation, , , , , , , , ,1638527,17533,46.8452569,-122.874
20,Belfair Water & Wastewater Reclamation Facility,ST0006224,Active,Municipal to ground SWDP IP,Belfair,Mason,9/2/2020,No,Effluent Violations,Numeric effluent violation, , , ,0.6612, , , , ,1638804,17635,47.464685,-122.809039
21,"Pacific Seafood - Westport, LLC",WA0003352,Active,Industrial NPDES IP,WESTPORT,Grays Harbor,9/1/2020,No,Monitoring Violations,Analysis not Conducted, , , , , , , , ,1639032,6751045,46.908145904541,-124.116798400879
22,OLYMPIA OYSTER CO,WA0037133,Active,Industrial NPDES IP,Shelton,Mason,9/1/2020,No,Reporting Violations,Late Submittal of DMRs, , , , , , , , ,1639221,24962,47.1210164041063,-123.055955862952
23,VADER WTP,WAG641004,Active,Water Treatment Plant GP,VADER,Lewis,9/1/2020,N/A,Reporting Violations,Late Submittal of DMRs, , , , , , , , ,1639529,84111793,46.4043121337891,-122.946670532227
